Titulo;Temporada;Estudios;Temas;Generos;Estreia;Transmissão;Nota;Qntd Avaliações;Faixa-etaria;Qntd de Membros;Favoritado por;Produtores;Distribuidores
"Kimetsu no Yaiba: Yuukaku-hen";"winter";"ufotable";"Historical";"Action|Fantasy";"05/12/2021";"Sundays at 23:15 (JST)";"8.74";"939.578";"R - 17+ (violence & profanity)";"1.473.560";"24.579";"Aniplex|Shueisha";"Aniplex of America|Crunchyroll"
"Shingeki no Kyojin: The Final Season Part 2";"winter";"MAPPA";"Gore|Military|Survival";"Action|Drama|Suspense";"10/01/2022";"Mondays at 00:05 (JST)";"8.76";"773.363";"R - 17+ (violence & profanity)";"1.325.270";"30.434";"Production I.G|Dentsu|Mainichi Broadcasting System|Pony Canyon|Kodansha|Pony Canyon Enterprises";"Funimation"
"Sono Bisque Doll wa Koi wo Suru";"winter";"CloverWorks";"Otaku Culture|School";"Romance";"09/01/2022";"Sundays at 00:00 (JST)";"8.18";"661.205";"PG-13 - Teens 13 or older";"1.085.838";"20.721";"Aniplex|Square Enix|Movic|Studio Mausu|Tokyo MX|BS11";"N/A"
"Arifureta Shokugyou de Sekai Saikyou 2nd Season";"winter";"asread.|studio MOTHER";"Harem|Isekai";"Action|Adventure|Fantasy";"13/01/2022";"Thursdays at 23:30 (JST)";"7.16";"164.201";"PG-13 - Teens 13 or older";"388.816";"4.293";"N/A";"Crunchyroll"
"Vanitas no Karte Part 2";"winter";"Bones";"Historical|Vampire";"Action|Fantasy|Mystery";"15/01/2022";"Saturdays at 00:00 (JST)";"8.2";"127.403";"R - 17+ (violence & profanity)";"286.374";"2.712";"Aniplex|Square Enix|Hakuhodo DY Music & Pictures|Contents Seed";"Funimation"
"Tensai Ouji no Akaji Kokka Saisei Jutsu";"winter";"Yokohama Animation Laboratory";"N/A";"Comedy|Fantasy";"11/01/2022";"Tuesdays at 22:30 (JST)";"7.39";"135.084";"PG-13 - Teens 13 or older";"284.902";"1.610";"AT-X|Studio Mausu|NBCUniversal Entertainment Japan|Tokyo MX|RAY|DMM pictures|BS NTV|SB Creative";"Funimation"
"Shuumatsu no Harem";"winter";"Studio Gokumi|AXsiZ";"Harem";"Sci-Fi|Erotica";"07/01/2022";"Fridays at 21:30 (JST)";"5.92";"100.788";"R+ - Mild Nudity";"258.823";"2.020";"AT-X|Nippon Columbia|Toranoana|NBCUniversal Entertainment Japan|Office Nobu|Shueisha|Yomiuri TV Enterprise|Global Solutions|Mirai-Kojo";"N/A"
"Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2";"winter";"J.C.Staff";"Harem|Isekai|Military";"Action|Fantasy|Romance";"09/01/2022";"Sundays at 01:30 (JST)";"7.44";"133.704";"PG-13 - Teens 13 or older";"255.489";"1.400";"Magic Capsule|KlockWorx|King Records|Overlap|WOWMAX|MIGHTY MEDIA";"Funimation"
"Sabikui Bisco";"winter";"OZ";"N/A";"Action|Adventure|Fantasy|Sci-Fi";"11/01/2022";"Tuesdays at 00:30 (JST)";"7.15";"103.470";"PG-13 - Teens 13 or older";"253.252";"1.424";"Frontier Works|Yomiuri Telecasting|KlockWorx|flying DOG|Hakuhodo DY Music & Pictures|BS11|Kadokawa|Bit grooove promotion";"Crunchyroll"
"Shikkakumon no Saikyou Kenja";"winter";"J.C.Staff";"Reincarnation";"Action|Adventure|Fantasy";"08/01/2022";"Saturdays at 22:00 (JST)";"6.23";"123.925";"PG-13 - Teens 13 or older";"252.680";"1.189";"Square Enix|NBCUniversal Entertainment Japan|Medicos Entertainment|Sammy|GREE|Good Smile Film|SB Creative";"N/A"
